graph_id,family,encoding_id,vertex_count,edge_count,code_length,minimum_injective_length,excess_bits,L_max,L_max_edge_count,L_99,L_95,L_mean,L_standard_deviation,L_minimum,unordered_pair_count,spearman_angular_hamming_correlation,mean_absolute_distortion,root_mean_squared_distortion,maximum_absolute_distortion,mean_normalised_hamming_distance,mean_normalised_angular_distance,far_pair_count,far_minimum_raw_hamming_distance,far_mean_raw_hamming_distance,far_minimum_normalised_hamming_distance,far_mean_normalised_hamming_distance,antipodal_pair_count,antipodal_minimum_raw_hamming_distance,antipodal_maximum_raw_hamming_distance,antipodal_mean_raw_hamming_distance,antipodal_minimum_normalised_hamming_distance,antipodal_mean_normalised_hamming_distance,collision_count,unique_codeword_count,largest_collision_class_size,multi_member_collision_class_count,constant_bit_count,maximum_absolute_deviation_from_half,mean_absolute_deviation_from_half,duplicate_bit_column_pair_count,complementary_bit_column_pair_count,maximum_absolute_pearson_correlation
primitive_q3_knn8,primitive_integer_directions,canonical_index_binary,290,1416,9,9,0,9,7,8,7,3.660310734463277,1.7031894024835375,1,41905,0.08694220892129861,0.21171492972124875,0.2621146803089033,0.9249123274574191,0.4669212106749394,0.5017301037998348,6349,1,4.362734288864388,0.1111111111111111,0.4847482543182653,145,1,6,4.475862068965517,0.1111111111111111,0.4973180076628353,0,290,1,0,0,0.38275862068965516,0.0628352490421456,0,0,0.32394177193585016
primitive_q3_knn8,primitive_integer_directions,canonical_index_gray,290,1416,9,9,0,8,1,6,6,3.2104519774011298,1.5096874818622463,1,41905,0.17286660041187524,0.20114540126611705,0.24916895360253558,0.8888888888888888,0.4669212106749393,0.5017301037998348,6349,1,4.484958261143487,0.1111111111111111,0.4983286956826097,145,1,5,4.641379310344828,0.1111111111111111,0.5157088122605363,0,290,1,0,0,0.38275862068965516,0.0628352490421456,0,0,0.3239417719358503
primitive_q3_knn8,primitive_integer_directions,cartesian_coordinate_binary,290,1416,9,9,0,7,12,6,5,2.906779661016949,1.4051195023404637,1,41905,0.4336421880715489,0.1661429845318948,0.20710935237702868,0.7777777777777778,0.48644950880960897,0.5017301037998348,6349,2,5.442431879036069,0.2222222222222222,0.6047146532262299,145,2,6,4.510344827586207,0.2222222222222222,0.5011494252873563,0,290,1,0,0,0.11379310344827587,0.08390804597701149,0,0,0.21158077036630726
primitive_q3_knn8,primitive_integer_directions,cartesian_coordinate_gray,290,1416,9,9,0,5,48,5,4,2.1186440677966103,1.1362254753962284,1,41905,0.491671223148478,0.1584682683425014,0.19605948393518835,0.7777777777777778,0.49014039692956296,0.5017301037998348,6349,1,5.364939360529217,0.1111111111111111,0.5961043733921353,145,2,6,5.337931034482758,0.2222222222222222,0.593103448275862,0,290,1,0,0,0.08620689655172409,0.07471264367816093,0,0,0.1884989123811666
primitive_q4_knn4,primitive_integer_directions,canonical_index_binary,578,1416,10,10,0,10,2,8,7,3.8608757062146895,1.866216245494218,1,166753,0.14798384824653985,0.20120766904453255,0.24961002736791627,0.9679545489656213,0.4691591755470666,0.5008665511244271,24973,1,5.0633884595362995,0.1,0.5063388459536299,289,1,7,5.401384083044983,0.1,0.5401384083044982,0,578,1,0,0,0.38581314878892736,0.05622837370242216,0,0,0.32013196036898506
primitive_q4_knn4,primitive_integer_directions,canonical_index_gray,578,1416,10,10,0,9,1,7,6,3.42090395480226,1.5920754591449107,1,166753,0.16306072394852805,0.19961449606822276,0.2474448220572455,0.9,0.4691591755470666,0.5008665511244271,24973,1,4.895647299083009,0.1,0.48956472990830097,289,1,5,4.709342560553633,0.1,0.4709342560553634,0,578,1,0,0,0.38581314878892736,0.05622837370242216,0,0,0.32013196036898495
primitive_q4_knn4,primitive_integer_directions,cartesian_coordinate_binary,578,1416,12,10,2,10,3,9,7,3.5254237288135593,1.9253521113441259,1,166753,0.24888384766745839,0.19728027551264163,0.24336112323272532,0.9145805337295516,0.4166431788333643,0.5008665511244271,24973,1,5.581467985424259,0.08333333333333333,0.4651223321186882,289,2,6,4.339100346020762,0.16666666666666666,0.3615916955017301,0,578,1,0,0,0.4031141868512111,0.1323529411764706,0,0,0.34740416688982584
primitive_q4_knn4,primitive_integer_directions,cartesian_coordinate_gray,578,1416,12,10,2,8,6,7,5,2.288135593220339,1.396737693700685,1,166753,0.46489455104538696,0.16594292732404506,0.21183801637294866,0.8333333333333334,0.41695501730103807,0.5008665511244271,24973,1,5.9019741320626276,0.08333333333333333,0.4918311776718856,289,2,6,5.501730103806229,0.16666666666666666,0.458477508650519,0,578,1,0,0,0.4031141868512111,0.13148788927335642,0,0,0.3024281990832647
primitive_q4_knn6,primitive_integer_directions,canonical_index_binary,578,2184,10,10,0,10,2,8,7,3.9047619047619047,1.8521582396695644,1,166753,0.14798384824653985,0.20120766904453255,0.24961002736791627,0.9679545489656213,0.4691591755470666,0.5008665511244271,24973,1,5.0633884595362995,0.1,0.5063388459536299,289,1,7,5.401384083044983,0.1,0.5401384083044982,0,578,1,0,0,0.38581314878892736,0.05622837370242216,0,0,0.32013196036898506
primitive_q4_knn6,primitive_integer_directions,canonical_index_gray,578,2184,10,10,0,9,1,7,6,3.4505494505494507,1.5596590422719716,1,166753,0.16306072394852805,0.19961449606822276,0.2474448220572455,0.9,0.4691591755470666,0.5008665511244271,24973,1,4.895647299083009,0.1,0.48956472990830097,289,1,5,4.709342560553633,0.1,0.4709342560553634,0,578,1,0,0,0.38581314878892736,0.05622837370242216,0,0,0.32013196036898495
primitive_q4_knn6,primitive_integer_directions,cartesian_coordinate_binary,578,2184,12,10,2,10,3,9,7,3.5494505494505493,1.9876748593408686,1,166753,0.24888384766745839,0.19728027551264163,0.24336112323272532,0.9145805337295516,0.4166431788333643,0.5008665511244271,24973,1,5.581467985424259,0.08333333333333333,0.4651223321186882,289,2,6,4.339100346020762,0.16666666666666666,0.3615916955017301,0,578,1,0,0,0.4031141868512111,0.1323529411764706,0,0,0.34740416688982584
primitive_q4_knn6,primitive_integer_directions,cartesian_coordinate_gray,578,2184,12,10,2,8,6,7,5,2.2857142857142856,1.3324827218698307,1,166753,0.46489455104538696,0.16594292732404506,0.21183801637294866,0.8333333333333334,0.41695501730103807,0.5008665511244271,24973,1,5.9019741320626276,0.08333333333333333,0.4918311776718856,289,2,6,5.501730103806229,0.16666666666666666,0.458477508650519,0,578,1,0,0,0.4031141868512111,0.13148788927335642,0,0,0.3024281990832647
primitive_q4_knn8,primitive_integer_directions,canonical_index_binary,578,2736,10,10,0,10,4,8,7,3.89546783625731,1.8466525548468014,1,166753,0.14798384824653985,0.20120766904453255,0.24961002736791627,0.9679545489656213,0.4691591755470666,0.5008665511244271,24973,1,5.0633884595362995,0.1,0.5063388459536299,289,1,7,5.401384083044983,0.1,0.5401384083044982,0,578,1,0,0,0.38581314878892736,0.05622837370242216,0,0,0.32013196036898506
primitive_q4_knn8,primitive_integer_directions,canonical_index_gray,578,2736,10,10,0,9,1,7,6,3.495614035087719,1.5790509225301654,1,166753,0.16306072394852805,0.19961449606822276,0.2474448220572455,0.9,0.4691591755470666,0.5008665511244271,24973,1,4.895647299083009,0.1,0.48956472990830097,289,1,5,4.709342560553633,0.1,0.4709342560553634,0,578,1,0,0,0.38581314878892736,0.05622837370242216,0,0,0.32013196036898495
primitive_q4_knn8,primitive_integer_directions,cartesian_coordinate_binary,578,2736,12,10,2,10,9,9,7,3.5350877192982457,1.9920007775019775,1,166753,0.24888384766745839,0.19728027551264163,0.24336112323272532,0.9145805337295516,0.4166431788333643,0.5008665511244271,24973,1,5.581467985424259,0.08333333333333333,0.4651223321186882,289,2,6,4.339100346020762,0.16666666666666666,0.3615916955017301,0,578,1,0,0,0.4031141868512111,0.1323529411764706,0,0,0.34740416688982584
primitive_q4_knn8,primitive_integer_directions,cartesian_coordinate_gray,578,2736,12,10,2,8,6,6,5,2.3421052631578947,1.3975476476729367,1,166753,0.46489455104538696,0.16594292732404506,0.21183801637294866,0.8333333333333334,0.41695501730103807,0.5008665511244271,24973,1,5.9019741320626276,0.08333333333333333,0.4918311776718856,289,2,6,5.501730103806229,0.16666666666666666,0.458477508650519,0,578,1,0,0,0.4031141868512111,0.13148788927335642,0,0,0.3024281990832647
